company,batch,title,job_type,role_track,location,experience_text,entry_level_match_reason,job_link,source_page
Confido,S21,New Grad Software Engineer,Full-time,Full stack,NYC Office,Any (new grads ok),any (new grads ok),https://www.ycombinator.com/companies/confido/jobs/JbodeMW-new-grad-software-engineer,https://www.ycombinator.com/jobs
OneChronos,S16,"Software Engineer, Data Platform",Full-time,Data science,"New York, NY, US / Amsterdam, NH, NL / London, England, GB / Tokyo, JP",1+ years,1+ years,https://www.ycombinator.com/companies/onechronos/jobs/vqgGG8a-software-engineer-data-platform,https://www.ycombinator.com/jobs
Karat Financial,W20,"Product Engineer, Karat Platform",Full-time,Full stack,"Los Angeles, CA, US",1+ years,1+ years,https://www.ycombinator.com/companies/karat-financial/jobs/cWyPqBh-product-engineer-karat-platform,https://www.ycombinator.com/jobs
