keyword,post_type,author,author_headline,author_role_type,profile_link,post_text,post_link
series a,funding,Dipika Singh • 3rd+ Founder & Chief Content Creator @She Means Business | Learning Facilitator (Executive Presence),Founder & Chief Content Creator @She Means Business | Learning Facilitator (Executive Presence),founder,https://www.linkedin.com/in/dipika-singh-7b36115,"Welcome to my new series, *What I Love About Her* — a founder’s personal take on women who’ve inspired me. Some are women I’ve met. Some I know closely. Some I’ve simply admired from afar. But each of them has that one quality, decision, attitude, or way of showing up that has stayed with me. This series is about celebrating that one thing I truly love about her — the thing that makes her memorable, inspiring, and deeply herself.",https://www.linkedin.com/feed/update/urn:li:activity:7462352382325280768/
series b,funding,Daniel G. • 3rd+ Chief Executive Officer & Co-Founder @ CREATE Medicines,Chief Executive Officer & Co-Founder @ CREATE Medicines,founder,https://www.linkedin.com/in/danielgetts,"A significant day for CREATE Medicines. We've closed a $122M Series B, co-led by our existing investors, Newpath Partners , ARCH Venture Partners , and Hatteras Venture Partners , with participation from Alexandria Venture Investments and other current members of CREATE's investor syndicate. This is the same group that backed us before we had clinical data, and their continued conviction reflects what the platform has built. To date, CREATE has dosed more than 50 patients across our in vivo CAR clinical programs — the largest clinical dataset in the field. This funding will support advancement of CRT-402, our next-generation repeat dose capable CD19 in vivo CAR-T for B cell-driven autoimmune disease, into the clinic. It will also support expansion of our dual CD19 x BCMA program for refractory autoimmunity, and continued progress across the oncology portfolio, where early data for MT-303 in frontline hepatocellular carcinoma (unprecedented responses in the first 3 patients!) has shown an extremely compelling response profile. I'm thrilled to welcome Ron Philip , a veteran biopharma leader, as Executive Chairman, along with Brian Cuneo and Tom M. Thomas, Ph.D. as new board members. We're also expanding our Clinical and Scientific Advisory Board with Georg Schett , Margrit Wiesendanger and Christopher M. Jewell leaders who have shaped this area of science and whose guidance will be instrumental as CRT-402 advances toward the clinic. Thank you to Allison DeAngelis and the STAT team for the exclusive coverage, and to our investors, advisors, and team — none of this happens without you. Most of all, to the patients in our trials. STAT exclusive: https://lnkd.in/etKjsPdZ Series B announcement: https://lnkd.in/eDdU92f5 SAB expansion: https://lnkd.in/e3U974DK",https://www.linkedin.com/feed/update/urn:li:activity:7460661619589783552/
funding announcement startup,funding,Mirko Tadic • 3rd+ Accelerating Innovation,Accelerating Innovation,founder,https://www.linkedin.com/in/michael-mirko-tadic,"Most early-stage founders do not fail because they lack ideas. They fail because they build too far away from real markets, real users and/or real feedback. The right ecosystem (even 28DIGITAL ) will not and cannot replace execution. What it can do is greatly accelerate good execution. (Worth reposting or tagging for anyone currently building from zero)",https://www.linkedin.com/feed/update/urn:li:activity:7460612021802184704/
