author,author_headline,author_role_type,profile_link,post_types,keywords,post_count
Daniel G. • 3rd+ Chief Executive Officer & Co-Founder @ CREATE Medicines,Chief Executive Officer & Co-Founder @ CREATE Medicines,founder,https://www.linkedin.com/in/danielgetts,funding,series b,1
Dipika Singh • 3rd+ Founder & Chief Content Creator @She Means Business | Learning Facilitator (Executive Presence),Founder & Chief Content Creator @She Means Business | Learning Facilitator (Executive Presence),founder,https://www.linkedin.com/in/dipika-singh-7b36115,funding,series a,1
Mirko Tadic • 3rd+ Accelerating Innovation,Accelerating Innovation,founder,https://www.linkedin.com/in/michael-mirko-tadic,funding,funding announcement startup,1
